zi,data_recomandata,platforma,tip,link,imagine,idee_vizual,text_scurt,hashtags
1,2026-06-19,"Facebook Page + profil personal","Lansare turisti",https://www.trevoro.ro/cazare,utile/social-media/assets/campanie-14-zile/trevoro-day-01-cazari-romania.png,"Card Trevoro cazari Romania","Am lansat Trevoro, o platforma romaneasca unde poti descoperi cazari dupa tara, oras, judet sau regiune. Porneste cautarea aici: https://www.trevoro.ro/cazare","#Trevoro #CazareRomania #VacantaRomania #TurismRomania"
2,2026-06-20,"Facebook Page + grupuri proprietari","Cost predictibil",https://www.trevoro.ro/proprietari,utile/social-media/assets/campanie-14-zile/trevoro-day-02-cost-predictibil.png,"Card cost predictibil","Ai hotel, pensiune, cabana, vila sau apartament in regim hotelier? Trevoro cauta proprietari care vor cost predictibil: planuri fixe de la 99 lei/luna, fara comision pe rezervari. Inscriere: https://www.trevoro.ro/proprietari","#Trevoro #ProprietariCazare #TurismRomania #PensiuniRomania"
3,2026-06-21,"Facebook Page + grupuri litoral","Ghid litoral",https://www.trevoro.ro/blog/cazare-litoral-vara,utile/social-media/assets/campanie-14-zile/trevoro-day-03-ghid-litoral.png,"Card ghid litoral","Cazarea la mare nu inseamna doar pretul pe noapte. Am pregatit un ghid scurt despre ce verifici inainte de rezervare: https://www.trevoro.ro/blog/cazare-litoral-vara","#Trevoro #LitoralRomania #VacantaRomania #CazareRomania"
4,2026-06-22,"Facebook Page + profil personal","Intrebare comunitate",https://www.trevoro.ro/cazare,utile/social-media/assets/campanie-14-zile/trevoro-day-04-intrebare-comunitate.png,"Card intrebare comunitate","Pentru vara asta, ce cauti mai des: litoral, munte, Delta, city break sau cabana cu prietenii? Scrie in comentarii si vezi destinatiile Trevoro: https://www.trevoro.ro/cazare","#Trevoro #VacantaRomania #TurismRomania"
5,2026-06-23,"Facebook Page + grupuri munte","Ghid cabane",https://www.trevoro.ro/blog/cabane-cu-jacuzzi,utile/social-media/assets/campanie-14-zile/trevoro-day-05-cabane-jacuzzi.png,"Card cabane jacuzzi","Cabana cu jacuzzi suna bine, dar merita sa verifici daca jacuzzi-ul este privat, cum e accesul si ce este inclus in pret. Ghid: https://www.trevoro.ro/blog/cabane-cu-jacuzzi","#Trevoro #CabaneRomania #WeekendRomania #CazareLaMunte"
6,2026-06-24,"Facebook Page","Proprietate reala",https://www.trevoro.ro/properties/24-vila-roxana-2-mai,utile/social-media/assets/campanie-14-zile/trevoro-day-06-vila-roxana-2-mai.png,"Card proprietate 2 Mai","Recomandare Trevoro pentru cei care cauta cazare aproape de mare: Vila Roxana, 2 Mai. Vezi pagina si trimite cerere direct catre proprietar: https://www.trevoro.ro/properties/24-vila-roxana-2-mai","#Trevoro #Cazare2Mai #LitoralRomania #CazariRomania"
7,2026-06-25,"Facebook Page + profil personal","Recap blog",https://www.trevoro.ro/blog,utile/social-media/assets/campanie-14-zile/trevoro-day-07-ghiduri-trevoro.png,"Card ghiduri Trevoro","Saptamana aceasta am publicat ghiduri Trevoro pentru litoral, cabane, Delta Dunarii, Turcia si proprietari. Le gasesti aici: https://www.trevoro.ro/blog","#Trevoro #GhiduriTravel #VacantaRomania #TurismRomania"
8,2026-06-26,"Facebook Page + grupuri vacante","Ghid Delta",https://www.trevoro.ro/blog/cazare-delta-dunarii,utile/social-media/assets/campanie-14-zile/trevoro-day-08-delta-dunarii.png,"Card Delta Dunarii","In Delta Dunarii, intreaba din timp despre transfer cu barca, mese, excursii si ora de sosire. Ghid Trevoro: https://www.trevoro.ro/blog/cazare-delta-dunarii","#Trevoro #DeltaDunarii #VacantaRomania #CazareRomania"
9,2026-06-27,"Facebook Page","Orase disponibile",https://www.trevoro.ro/cazare,utile/social-media/assets/campanie-14-zile/trevoro-day-09-orase-disponibile.png,"Card orase disponibile","Pe Trevoro poti porni cautarea dupa oras, judet sau regiune: Bucuresti, Hateg, 2 Mai, Bran, Eforie Nord, Sibiu, Timisoara si altele. https://www.trevoro.ro/cazare","#Trevoro #CazariRomania #TurismRomania #VacantaRomania"
10,2026-06-28,"Facebook Page + grupuri proprietari","Calendar/overbooking",https://www.trevoro.ro/blog/sincronizare-calendar-fara-overbooking,utile/social-media/assets/campanie-14-zile/trevoro-day-10-calendar-overbooking.png,"Card calendar","Pentru proprietari, una dintre cele mai mari griji este overbooking-ul. Calendarul sincronizat este primul pas practic. Explicatie: https://www.trevoro.ro/blog/sincronizare-calendar-fara-overbooking","#Trevoro #ProprietariCazare #ChannelManager #TurismRomania"
