id,name,property_type,country,city,county,phone,email,facebook_url,status,message_ro
"441","Apartament ART","apartament","Romania","Cluj-Napoca","","+40 740 250 286","","https://www.facebook.com/pages/Apartment-ART-Cluj/1531599237101210","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"565","Camping La Mariana","camping","Romania","Vama Veche","","","","https://www.facebook.com/lamarianavamaveche/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"567","Casa Ryn","pensiune","Romania","","","+40722796188","","https://www.facebook.com/p/Casa-Ryn-Vama-Veche-100064352761019/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"922","Blue Sky Hotel Eforie Nord","hotel","Romania","Eforie Nord","","+40739914704","","https://www.facebook.com/BlueSkyResortEforieN/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1251","Felyviss","pensiune","Romania","Albac","Alba","","","https://www.facebook.com/Pensiunea.FelyViss/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1257","Casa Brădeană","pensiune","Romania","Albac","Alba","","","https://www.facebook.com/pensiuneaagroturistica.casabradeana","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1264","Poieniţa","pensiune","Romania","Albac","Alba","","","https://www.facebook.com/Pensiunea-Poieni%C8%9Ba-Albac-1625546351052664/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1266","Danciu","pensiune","Romania","Albac","Alba","","danciu_diana1795@yahoo.com","https://www.facebook.com/pensiuneadanciu.albac/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1268","Andra","pensiune","Romania","Albac","Alba","","","https://www.facebook.com/PensiuneaAndraAlbac2020/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
"1270","Welness Spa Regal Chef Decebal","pensiune","Romania","Almaşu Mare","Alba","","achimstefandecebal@gmail.com","https://m.facebook.com/Wellness-SPA-Regal-Chef-Decebal-103221682235155/","nou","Bună ziua! Vă contactez din partea Trevoro, platformă românească pentru proprietari de cazări. Planuri transparente: Basic 99 lei/lună, Premium 149 lei/lună, Business 249 lei/lună, cu 0% comision pe rezervări. Înscriere: https://www.trevoro.ro/proprietari"
